difficulty,name,link
5.5,Excavator Expedition,https://open.kattis.com/problems/excavatorexpedition
6.0,Doors,https://open.kattis.com/problems/doors
8.3,basic,https://open.kattis.com/problems/basic
6.0,Blocks on Blocks,https://open.kattis.com/problems/blocks
7.7,Distracted,https://open.kattis.com/problems/distracted
7.1,Delivery Delays,https://open.kattis.com/problems/deliverydelays
7.0,Assembly Line,https://open.kattis.com/problems/assemblyline
7.9,Tip of Your Tongue,https://open.kattis.com/problems/tipofyourtongue
6.0,Prehistoric Programs,https://open.kattis.com/problems/prehistoricprograms
5.6,Stol,https://open.kattis.com/problems/stol
6.5,Non-boring sequences,https://open.kattis.com/problems/nonboringsequences
8.5,Basin City Surveillance,https://open.kattis.com/problems/basincity
8.3,Shovelling Snow,https://open.kattis.com/problems/shovellingcost
6.5,Aspen Avenue,https://open.kattis.com/problems/aspenavenue
5.9,Eulerian Path,https://open.kattis.com/problems/eulerianpath
8.4,Radio Receiver,https://open.kattis.com/problems/radioreceiver
8.2,KenKen You Do It?,https://open.kattis.com/problems/kenken
5.6,Primal Partitions,https://open.kattis.com/problems/primal
7.1,Yet Another Divisor Problem,https://open.kattis.com/problems/yetanotherdivisorproblem
8.0,Fake It `Til You Make It,https://open.kattis.com/problems/fakeit
6.1,Super Mario 169,https://open.kattis.com/problems/supermario169
8.4,British Menu,https://open.kattis.com/problems/britishmenu
6.9,Superdoku,https://open.kattis.com/problems/superdoku
6.5,Kamioni,https://open.kattis.com/problems/kamioni
6.2,Integer Rotation,https://open.kattis.com/problems/introtation
8.2,Bus Schedules,https://open.kattis.com/problems/busschedules
5.7,Ghostbusters 2,https://open.kattis.com/problems/ghostbusters
9.4,Kingdom of Kittens,https://open.kattis.com/problems/kingdomofkittens
7.7,Parades,https://open.kattis.com/problems/parades
8.4,Who Wants to Live Forever?,https://open.kattis.com/problems/whowantstoliveforever
7.1,Entertaining Excursion,https://open.kattis.com/problems/entertainingexcursion
5.6,Shortest Missing Subsequences,https://open.kattis.com/problems/shortestmissingsubsequences
7.5,Nim Cheater,https://open.kattis.com/problems/nimcheater
8.4,Seven Kingdoms,https://open.kattis.com/problems/sevenkingdoms
7.1,Number Sets (Hard),https://open.kattis.com/problems/numbersetshard
6.3,Proteins,https://open.kattis.com/problems/proteins
9.1,Ligatures,https://open.kattis.com/problems/ligatures
6.9,Bonsai,https://open.kattis.com/problems/bonsai
6.2,Deceptive Directions,https://open.kattis.com/problems/deceptivedirections
8.1,Endless Turning,https://open.kattis.com/problems/endlessturning
6.9,Buying Coke,https://open.kattis.com/problems/coke
5.5,Folding a Cube,https://open.kattis.com/problems/foldingacube
6.0,New Maths,https://open.kattis.com/problems/newmaths
8.0,Learning to code,https://open.kattis.com/problems/learningtocode
9.4,Worm Worries,https://open.kattis.com/problems/worm
7.1,Unlock Pattern II,https://open.kattis.com/problems/unlockpattern2
6.4,Stanovi,https://open.kattis.com/problems/stanovi
5.6,Like No One Ever Was,https://open.kattis.com/problems/likenooneeverwas
5.7,Bricks,https://open.kattis.com/problems/brickpartition
6.6,Double Dealing,https://open.kattis.com/problems/double
6.8,Clumsy Cardinals,https://open.kattis.com/problems/clumsycardinals
7.6,Beacons,https://open.kattis.com/problems/beacons
5.8,XOR Sequences,https://open.kattis.com/problems/xorsequences
5.8,The Magical 3,https://open.kattis.com/problems/magical3
5.6,The Colonization of El-gă-rizm,https://open.kattis.com/problems/thecolonizationofelgarizm
6.1,Odd and Even Zeroes,https://open.kattis.com/problems/oddandevenzeroes
8.6,Dinner,https://open.kattis.com/problems/dinner
8.3,The Big Mac Question,https://open.kattis.com/problems/thebigmacquestion
6.2,Maximum Color Clique,https://open.kattis.com/problems/maxcolorclique
6.5,Treasure Diving,https://open.kattis.com/problems/treasurediving
5.6,Tycho,https://open.kattis.com/problems/boi23.tycho
6.8,Krtica,https://open.kattis.com/problems/krtica
7.0,Borders,https://open.kattis.com/problems/borders
6.8,Sweet and Smoky,https://open.kattis.com/problems/sweetandsmoky
5.9,Olympiad Training,https://open.kattis.com/problems/olympiadtraining
9.3,Building Roads,https://open.kattis.com/problems/buildingroads
6.9,Moogle,https://open.kattis.com/problems/moogle
9.4,Magical String,https://open.kattis.com/problems/magicalstring
7.7,Cat And Mouse,https://open.kattis.com/problems/catmouse
