difficulty,name,link
2.0,Closing the Loop,https://open.kattis.com/problems/closingtheloop
2.1,Goldbach's Conjecture,https://open.kattis.com/problems/goldbach2
1.9,Baby Bites,https://open.kattis.com/problems/babybites
2.7,Battle Simulation,https://open.kattis.com/problems/battlesimulation
1.3,Is Y a Vowel?,https://open.kattis.com/problems/isyavowel
2.1,Pachyderm Peanut Packing,https://open.kattis.com/problems/pachydermpeanutpacking
2.4,Bus Numbers,https://open.kattis.com/problems/busnumbers
2.1,Vauvau,https://open.kattis.com/problems/vauvau
1.8,Sheba's Amoebas,https://open.kattis.com/problems/amoebas
2.2,Delimiter Soup,https://open.kattis.com/problems/delimitersoup
2.2,Saving Princess Peach,https://open.kattis.com/problems/princesspeach
2.4,The Gourmet,https://open.kattis.com/problems/gourmeten
1.4,Odd Echo,https://open.kattis.com/problems/oddecho
1.3,Which is Greater?,https://open.kattis.com/problems/whichisgreater
2.4,Linden Mayor System,https://open.kattis.com/problems/lindenmayorsystem
2.5,Majstor,https://open.kattis.com/problems/majstor
1.3,Bijele,https://open.kattis.com/problems/bijele
1.5,Batter Up,https://open.kattis.com/problems/batterup
2.7,Get to Work,https://open.kattis.com/problems/gettowork
2.1,Gandalf's Spell,https://open.kattis.com/problems/gandalfsspell
1.8,Un-bear-able Zoo,https://open.kattis.com/problems/zoo
2.5,Minimal Fibonacci Sums,https://open.kattis.com/problems/fibonaccisum
1.7,Prsteni,https://open.kattis.com/problems/prsteni
1.8,Riječi,https://open.kattis.com/problems/rijeci
2.7,Keep it Cool,https://open.kattis.com/problems/keepitcool
1.5,Ekki dauði opna inni,https://open.kattis.com/problems/ekkidaudi
1.7,Hailstone Sequences,https://open.kattis.com/problems/hailstone2
2.0,EpigDanceOff,https://open.kattis.com/problems/epigdanceoff
1.7,Hitting the Targets,https://open.kattis.com/problems/hittingtargets
2.0,Ragged Right,https://open.kattis.com/problems/raggedright
2.1,Black Friday,https://open.kattis.com/problems/blackfriday
2.6,"Verify This, Your Majesty",https://open.kattis.com/problems/queens
2.3,Music Your Way,https://open.kattis.com/problems/musicyourway
1.9,Luhn's Checksum Algorithm,https://open.kattis.com/problems/luhnchecksum
2.3,The Backslash Problem,https://open.kattis.com/problems/thebackslashproblem
2.0,Semafori,https://open.kattis.com/problems/semafori
2.6,Carousel Rides,https://open.kattis.com/problems/carousel
2.1,Keywords,https://open.kattis.com/problems/keywords
1.7,Chugging,https://open.kattis.com/problems/chugging
1.4,Tarifa,https://open.kattis.com/problems/tarifa
2.1,Going to School,https://open.kattis.com/problems/skolvagen
2.7,All about that base,https://open.kattis.com/problems/allaboutthatbase
2.1,Completing the Square,https://open.kattis.com/problems/completingthesquare
2.5,Calories From Fat,https://open.kattis.com/problems/calories
1.6,Moderate Pace,https://open.kattis.com/problems/moderatepace
2.2,Space Race,https://open.kattis.com/problems/spacerace
1.6,Estimating the Area of a Circle,https://open.kattis.com/problems/estimatingtheareaofacircle
1.6,Arithmetic Functions,https://open.kattis.com/problems/arithmeticfunctions
2.1,Streets Ahead,https://open.kattis.com/problems/streetsahead
2.4,Snapper Chain (Hard),https://open.kattis.com/problems/snapperhard
1.2,Leggja saman,https://open.kattis.com/problems/leggjasaman
1.5,Cryptographer's Conundrum,https://open.kattis.com/problems/conundrum
1.8,Deathstar,https://open.kattis.com/problems/deathstar
2.1,Sky Islands,https://open.kattis.com/problems/skyislands
1.7,Islands,https://open.kattis.com/problems/islands3
1.4,Detailed Differences,https://open.kattis.com/problems/detaileddifferences
2.3,Cokolada,https://open.kattis.com/problems/cokolada
