difficulty,name,link
5.1,GMO,https://open.kattis.com/problems/gmo
3.1,Thank God it’s Friday,https://open.kattis.com/problems/tgif
3.5,Where's My Waterfall?,https://open.kattis.com/problems/wheresmywaterfall
3.8,Nicknames,https://open.kattis.com/problems/nicknames
4.9,Bike Gears,https://open.kattis.com/problems/bikegears
4.5,Ocean Monument,https://open.kattis.com/problems/oceanmonument
3.1,Rule N,https://open.kattis.com/problems/rulen
3.8,Inflation,https://open.kattis.com/problems/inflation2
3.4,Ding Dong Ditch,https://open.kattis.com/problems/dingdongditch
3.0,Interplanetary Tunnels,https://open.kattis.com/problems/interplanetarytunnels
4.3,Dice Betting,https://open.kattis.com/problems/dicebetting
5.1,Job Postings,https://open.kattis.com/problems/jobpostings
5.0,Avalanche,https://open.kattis.com/problems/laviner
4.2,Using Digits,https://open.kattis.com/problems/usingdigits
4.0,Bank Queue,https://open.kattis.com/problems/bank
5.0,Talnalás,https://open.kattis.com/problems/talnalas
3.7,Zadaca,https://open.kattis.com/problems/zadaca
3.0,Wizard of Odds,https://open.kattis.com/problems/wizardofodds
3.0,Colour Wars,https://open.kattis.com/problems/colourwars
4.7,Elementary Math,https://open.kattis.com/problems/elementarymath
4.5,StopCard,https://open.kattis.com/problems/stopcard
3.5,Flowery Trails,https://open.kattis.com/problems/flowerytrails
5.0,Cent Savings,https://open.kattis.com/problems/centsavings
2.8,Equal Sums (Easy),https://open.kattis.com/problems/equalsumseasy
5.1,InTents,https://open.kattis.com/problems/intents
4.2,Gear Changing,https://open.kattis.com/problems/gearchanging
3.7,Thermostat Trouble,https://open.kattis.com/problems/thermostat
4.0,10 Kinds of People,https://open.kattis.com/problems/10kindsofpeople
4.8,Tomosynthesis,https://open.kattis.com/problems/tomosynthesis
4.0,How Many Digits?,https://open.kattis.com/problems/howmanydigits
5.2,Silueta,https://open.kattis.com/problems/silueta
3.8,Pub-lic Good,https://open.kattis.com/problems/pubs
2.8,Delicious Bubble Tea,https://open.kattis.com/problems/bubbletea
4.7,Chicken Joggers,https://open.kattis.com/problems/joggers
5.4,Zoning,https://open.kattis.com/problems/zoning
4.1,Collatz Conjecture,https://open.kattis.com/problems/collatz
3.1,Bing It On,https://open.kattis.com/problems/bing
4.6,Freckles,https://open.kattis.com/problems/freckles
4.6,Primary X-Subfactor Series,https://open.kattis.com/problems/pxs
5.0,Töskupökkun,https://open.kattis.com/problems/toskupokkun
4.3,Exam Manipulation,https://open.kattis.com/problems/exammanipulation
5.4,Abandoned Animal,https://open.kattis.com/problems/abandonedanimal
3.0,An Industrial Spy,https://open.kattis.com/problems/industrialspy
4.9,Pianino,https://open.kattis.com/problems/pianino
2.9,Sort,https://open.kattis.com/problems/sort
3.1,Matrix Inverse,https://open.kattis.com/problems/matrix
3.3,4 thought,https://open.kattis.com/problems/4thought
3.9,A Cappella Recording,https://open.kattis.com/problems/acappellarecording
4.8,Ljutnja,https://open.kattis.com/problems/ljutnja
3.9,Quantum,https://open.kattis.com/problems/quantum
3.1,Weather Report,https://open.kattis.com/problems/weather
5.1,Eidam-Sand Lair,https://open.kattis.com/problems/eidamsandlair
4.4,Ozljeda,https://open.kattis.com/problems/ozljeda
